World Port Index Number,Region Name,Main Port Name,Alternate Port Name,Tidal Range (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Harbor Size,Harbor Type,Harbor Use,Shelter Afforded,Entrance Restriction - Tide,Entrance Restriction - Heavy Swell,Port Security,Vessel Traffic Service,Communications - Telephone,Communications - Radio,Communications - Airport,Communications - Rail,Facilities - Wharves,Facilities - Anchorage,Facilities - Dangerous Cargo Anchorage,Facilities - Ro-Ro,Facilities - Solid Bulk,Facilities - Liquid Bulk,Facilities - Container,Facilities - Breakbulk,Facilities - Oil Terminal,Facilities - LNG Terminal,Medical Facilities,Garbage Disposal,Cranes - Fixed,Cranes - Mobile,Cranes - Floating,Cranes - Container,Services - Longshoremen,Services - Electricity,Services - Navigation Equipment,Supplies - Provisions,Supplies - Potable Water,Supplies - Fuel Oil,Supplies - Diesel Oil,Repairs,Dry Dock,Railway,Latitude,Longitude
56630,Caroline Islands -- 56560,Colonia,Tomil Harbor; Yap Colonia International Port,1,23.2,23.2,7.9,0,0,0,Very Small,Coastal (Natural),Unknown,Good,No,No,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,No,No,Unknown,Yes,Yes,No,Unknown,Yes,Yes,Unknown,Limited,Medium,Unknown,9.516667,138.133333
56600,Caroline Islands -- 56560,Moen,Chuuk; Weno,1,7.9,0,7.9,0,0,0,Very Small,Open Roadstead,Unknown,Good,No,No,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,No,Yes,Yes,Yes,Unknown,Emergency Only,Unknown,Unknown,7.433333,151.833333
56570,Caroline Islands -- 56560,Lele Harbor, ,1,14,12.5,7.9,0,0,0,Very Small,Coastal (Natural),Unknown,Fair,No,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,No,Yes,No,Yes,Yes,Yes,Yes,Emergency Only,Unknown,Unknown,5.333333,163.033333
44804,Turkey Asia -- 44360,Delta Terminal, ,0,0,23.2,0,0,0,0,Very Small,Open Roadstead,Unknown,Poor,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Yes,Moderate,Unknown,Unknown,36.85,36.166667
50350,Indonesia -- 50020,Cinta Oil Terminal, ,0,23.2,23.2,0,0,0,0,Very Small,Open Roadstead,Unknown,Poor,No,No,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,No,Emergency Only,Unknown,Unknown,-5.5,106.233333
4000,Canada Lake Huron -- 3640,Port Severn, ,0,1.8,1.8,1.8,0,0,0,Very Small,River (Natural),Unknown,Excellent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Limited,Unknown,Unknown,44.8,-79.716667
38330,Gibraltar -- 38320,Europa Point, ,1,12.5,18.6,7.9,0,0,0,Medium,Coastal (Breakwater),Unknown,Good,No,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Major,Medium,Small,36.133333,-5.35
56945,Papua New Guinea -- 56695,Queen Carola Harbor, ,2,17.1,11,1.8,0,0,0,Very Small,Coastal (Natural),Unknown,Good,No,No,Unknown,Unknown,No,Yes,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,No,Unknown,Yes,Limited,Unknown,Unknown,-5.166667,154.55
7010,United States E Coast -- 6585,New Harbor, ,2.7,6.4,6.4,1.8,0,0,0,Very Small,Coastal (Natural),Unknown,Fair,Yes,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Limited,Unknown,Unknown,43.866667,-69.483333
5980,Cape Breton Island -- 5860,Little Bras D Or, ,3,3.4,6.4,3.4,0,0,0,Very Small,Coastal (Natural),Unknown,Excellent,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,46.25,-60.3
53020,New Guinea West Coast - Irian Jaya -- 52900,Tg. Sorong,Kasim,1,18.6,23.2,11,0,0,0,Small,Open Roadstead,Unknown,Fair,Yes,No,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Limited,Small,Unknown,-0.883333,131.233333
4950,US Lake Michigan -- 4570,Depere, ,0,6.4,6.4,4.9,0,0,0,Very Small,River (Natural),Unknown,Good,No,No,Unknown,Unknown,No,No,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,44.45,-88.066667
4630,US Lake Michigan -- 4570,Leland, ,0,3.4,1.8,1.8,0,0,0,Very Small,Coastal (Breakwater),Unknown,Fair,No,No,Unknown,Unknown,Yes,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,45.016667,-85.766667
20940,Norway -- 20620,Bredvik, ,0,0,6.4,4.9,0,0,0,Very Small,Coastal (Natural),Unknown,Good,No,No,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,None,Unknown,Small,70.583333,22.133333
19880,Alaska -- 19080,Lazy Bay, ,2.7,23.2,15.5,7.9,0,0,0,Very Small,Coastal (Natural),Unknown,Poor,No,No,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,No,No,No,Yes,Yes,No,Yes,Limited,Unknown,Unknown,56.9,-154.25
12900,Brazil SE Coast -- 12700,Dtse / Gegua Oil Terminal, ,1,11,14,0,0,0,0,Medium,Open Roadstead,Unknown,Fair,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Major,Medium,Unknown,-22.816667,-43.15
48104,Saudi Arabia -- 48100,Sharmah,Ash Sharmah,0,23.2,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Poor,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,27.933333,35.25
9210,US Gulf Coast -- 8650,Norsworthy, ,0.3,11,9.4,9.4,0,0,0,Very Small,River (Natural),Unknown,Good,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Medium,29.733333,-95.2
8400,United States E Coast -- 6585,Bayboro, ,0,3.4,1.8,1.8,0,0,0,Very Small,River (Natural),Unknown,Good,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Limited,Unknown,Small,35.15,-76.766667
4240,Canada Lake Huron -- 3640,Hilton,Marksville,0,3.4,9.4,3.4,0,0,0,Very Small,Coastal (Natural),Unknown,Good,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,46.25,-83.883333
4160,Canada Lake Huron -- 3640,Kagawong, ,0,6.4,11,4.9,0,0,0,Very Small,Coastal (Natural),Unknown,Excellent,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Limited,Unknown,Unknown,45.916667,-82.25
3130,US Lake Ontario -- 3120,Chaumont, ,0,7.9,4.9,1.8,0,0,0,Very Small,Coastal (Natural),Unknown,Excellent,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Limited,Unknown,Small,44.066667,-76.133333
20000,Alaska -- 19080,Kanatak, ,3,0,0,0,0,0,0,Very Small,Open Roadstead,Unknown,Poor,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,57.566667,-156.033333
5520,South Side -- 5501,Douglastown, ,0,1.8,18.6,6.4,0,0,0,Very Small,Open Roadstead,Unknown,Fair,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,48.766667,-64.383333
28615,Latvia -- 28600,Lielupe, ,0,1.8,23.2,3.4,0,0,0,Very Small,River (Natural),Unknown,Fair,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Small,57,23.433333
19630,Alaska -- 19080,Katalla, ,2.4,0,11,0,0,0,0,Very Small,Open Roadstead,Unknown,Fair,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,60.2,-144.533333
6750,United States E Coast -- 6585,Minturn, ,3,1.8,9.4,0,0,0,0,Very Small,Coastal (Natural),Unknown,Good,Yes,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,44.15,-68.45
6820,United States E Coast -- 6585,Criehaven, ,2.7,1.8,1.8,1.8,0,0,0,Very Small,Coastal (Breakwater),Unknown,Poor,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,43.833333,-68.883333
29800,Aero -- 29780,Aeroskobing, ,0,3.4,6.4,4.9,0,0,0,Very Small,Coastal (Breakwater),Unknown,Good,Yes,No,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Limited,Small,Unknown,54.883333,10.416667
43950,Ukraine -- 43620,Kyrylivka, ,0,4.9,4.9,1.8,0,0,0,Very Small,Open Roadstead,Unknown,Fair,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46.35,35.366667
46691,Ascension -- 46660,North Point, ,0,0,3.4,0,0,0,0,Small,Open Roadstead,Unknown,Poor,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-7.883333,-14.366667
57433,Thailand -- 57431,Bongkot Terminal, ,0,23.2,23.2,0,0,0,0,Very Small,Open Roadstead,Unknown,Poor,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,No,None,Unknown,Unknown,8.05,102.333333
52350,Sulawesi -- 51970,Donggala, ,4,23.2,23.2,1.8,0,0,0,Very Small,Open Roadstead,Unknown,Fair,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,No,No,Emergency Only,Unknown,Unknown,-0.65,119.733333
3790,Canada Lake Huron -- 3640,Lions Head, ,0,3.4,3.4,3.4,0,0,0,Very Small,Coastal (Breakwater),Unknown,Good,No,No,Unknown,Unknown,Unknown,Unknown,No,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,None,Unknown,Unknown,44.983333,-81.25
4150,Canada Lake Huron -- 3640,Honora, ,0,6.4,7.9,1.8,0,0,0,Very Small,Coastal (Natural),Unknown,Excellent,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,45.866667,-82.166667
23300,Norway -- 20620,Meling, ,0,0,12.5,1.8,0,0,0,Very Small,Coastal (Natural),Unknown,Good,No,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,59.783333,5.116667
23107,Norway -- 20620,Bud, ,0,0,4.9,4.9,0,0,0,Very Small,Coastal (Breakwater),Unknown,Fair,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Limited,Unknown,Unknown,62.9,6.916667
23455,Norway -- 20620,Espevaer, ,0,0,12.5,6.4,0,0,0,Very Small,Coastal (Natural),Unknown,Good,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Limited,Unknown,Unknown,59.583333,5.15
19970,Alaska -- 19080,Bear Island, ,3.4,0,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Fair,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,58.45,-152.683333
20270,Alaska Continued -- 20185,Koggiung, ,4.3,0,0,0,0,0,0,Very Small,Coastal (Natural),Unknown,Fair,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Limited,Unknown,Small,58.966667,-156.916667
20350,Alaska Continued -- 20185,Hamilton, ,0.6,0,0,0,0,0,0,Very Small,River (Natural),Unknown,Fair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,62.9,-163.916667
5150,Canada Lake Superior -- 5120,Gargantua, ,0,3.4,12.5,1.8,0,0,0,Very Small,Coastal (Natural),Unknown,Good,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,47.566667,-84.966667
42415,Greece East Coast -- 42010,Larimna,Larmes,2,11,9.4,11,0,0,0,Very Small,Coastal (Natural),Unknown,Good,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,38.566667,23.283333
31895,Scotland East Coast -- 31870,Bird Port, ,6,1.8,4.9,9.4,0,0,0,Very Small,River (Natural),Unknown,Poor,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Limited,Unknown,Small,51.566667,-2.966667
38420,Spain SE Coast -- 38340,Hornillo, ,1,14,23.2,4.9,0,0,0,Very Small,Coastal (Natural),Unknown,Fair,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,37.4,-1.55
40245,Italy -- 39125,Melilli Oil Terminal, ,1,21.6,23.2,0,0,0,0,Very Small,Open Roadstead,Unknown,Fair,No,No,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Limited,Unknown,Small,37.116667,15.25
